No errors
No warnings
55 ms
data source=aircraftreports
1968 results
receipt_time,observation_time,mid_point_assumed,no_time_stamp,flt_lvl_range,above_ground_level_indicated,no_flt_lvl,bad_location,aircraft_ref,latitude,longitude,altitude_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,visibility_statute_mi,wx_string,temp_c,wind_dir_degrees,wind_speed_kt,vert_gust_kt,report_type,raw_text
2022-10-22T02:50:42Z,2022-10-22T02:50:00Z,,,,,,,THY12E,62.65,-57.1833,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-41,348,36,,AIREP,ARP THY12E 6239N05711W 0250 F350 6400N05000W 0314 6600N04000W MS41 348/36 KT TCLLE QXT AME 220250 L29A ,
2022-10-22T02:50:43Z,2022-10-22T02:50:00Z,,,,,,,SAS908,59.1667,-46.5167,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-46,236,50,,AIREP,ARP SAS908 5910N04631W 0250 F390 6059N03959W 0315 6259N02959W MS46 236/50 KT LNRKM DDL UAK 220250 J70A ,
2022-10-22T02:50:53Z,2022-10-22T02:50:00Z,,,,,,,DAL142,57.5667,-57.0167,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-48,263,61,,AIREP,ARP DAL142 5734N05701W 0250 F390 5800N05000W 0315 5800N04000W MS48 263/61 KT N417DX QXS YHO 220250 J46A ,
2022-10-22T02:50:54Z,2022-10-22T02:50:00Z,,,,,,,BAW5CA,54.9667,-30.2667,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-59,322,72,,AIREP,ARP BAW5CA 5458N03016W 0250 F380 5500N03000W 0251 5359N02000W MS59 322/72 KT GZBKM DDL XXF 220250 L61A ,
2022-10-22T02:50:39Z,2022-10-22T02:50:00Z,,,,,,,UAL904,53.5833,-59.1667,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,255,58,,AIREP,ARP UAL904 5335N05910W 0250 F350 HOIST 0303 5700N05000W MS54 255/58 KT N658UA DDL YIF 220250 F44A ,
2022-10-22T02:50:43Z,2022-10-22T02:50:00Z,,,,,,,TOM755,49.6333,-48.65,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,-63,257,125,,AIREP,ARP TOM755 4938N04839W 0250 F410 5300N04000W 0330 5600N03000W MS63 257/125 KT GTUIB QXT AME 220250 L91A ,
2022-10-22T02:50:42Z,2022-10-22T02:49:00Z,,,,,,,FPY410,62.2167,-49.15,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-45,208,44,,AIREP,ARP FPY410 6213N04909W 0249 F350 6400N04000W 0322 6400N03000W MS45 208/44 KT TFAEW DDL UAK 220250 J54A ,
2022-10-22T02:50:53Z,2022-10-22T02:49:00Z,,,,,,,DLH471,57.0167,-49.95,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-44,255,41,,AIREP,ARP DLH471 5701N 04957W 0249 F370 M44 255/41 5800N 04000W 0326 5800N 03000W KT DABTL DDL UAK 220249 F58A,
2022-10-22T02:50:53Z,2022-10-22T02:49:00Z,,,,,,,ACA816,56.8167,-56.6833,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,258,62,,AIREP,ARP ACA816 5649N 05641W 0249 F370 M50 258/62 5859N 04959W 0317 5959N 04000W KT CGEGP DDL XXH 220249 J51A,
2022-10-22T02:50:26Z,2022-10-22T02:49:00Z,,,,,,,LOT2MF,55.1,-53.4833,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-48,266,65,,AIREP,ARP LOT2MF 5506N05329W 0249 F390 5600N05000W 0303 5900N04000W MS48 266/65 KT SPLSF DDL XXH 220250 L40A ,
2022-10-22T02:49:33Z,2022-10-22T02:49:00Z,,,,,,,JBU43,53.1167,-38.9,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-52,279,104,,AIREP,ARP JBU43 5307N03854W 0249 F350 5358N03000W 0326 5258N02000W MS52 279/104 KT N4058J QXT IGW 220249 J52A ,
2022-10-22T02:50:53Z,2022-10-22T02:49:00Z,,,,,,,DAL58,51.7667,-33.1833,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,320,98,,AIREP,ARP DAL58 5146N 03311W 0249 F350 M51 320/98 5159N 03000W 0303 5059N 02000W KT N835MH QXT AOE 220249 F75A,
2022-10-22T02:50:40Z,2022-10-22T02:49:00Z,,,,,,,DAL28,49.3833,-45.8,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-52,264,109,,AIREP,ARP DAL28 4923N04548W 0249 F360 5058N03959W 0316 5158N03000W MS52 264/109 KT N836MH QXT AOE 220250 F44A ,
2022-10-22T02:50:53Z,2022-10-22T02:49:00Z,,,,,,,DAL1,48.4167,-48.85,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-48,253,105,,AIREP,ARP DAL1 4825N 04851W 0249 F350 M48 253/105 5100N 04000W 0330 5200N 03000W KT N839MH QXS YYT 220249 F71A,
2022-10-22T02:50:53Z,2022-10-22T02:49:00Z,,,,,,,BAW61T,47.4167,-48.85,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-58,264,106,,AIREP,ARP BAW61T 4725N 04851W 0249 F390 M58 264/106 5000N 04000W 0330 5100N 03000W KT GVIIU DDL YYT 220249 F62A,
2022-10-22T02:50:53Z,2022-10-22T02:49:00Z,,,,,,,AAL68,46.5667,-35.3667,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-57,328,103,,AIREP,ARP AAL68 4634N 03522W 0249 F380 M57 328/103 4659N 03000W 0315 4659N 02000W KT N840AN DDL XXF 220249 L11A,
2022-10-22T02:50:29Z,2022-10-22T02:49:00Z,,,,,,,OCN3A,44.1667,-49.65,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-58,255,67,,AIREP,ARP OCN3A 4410N04939W 0249 F390 4800N04000W 0343 5000N03000W MS58 255/67 KT DAFYQ DDL XXN 220250 J14A ,
2022-10-22T02:49:42Z,2022-10-22T02:48:00Z,,,,,,,UAL972,60.0833,-49.3333,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-43,356,36,,AIREP,ARP UAL972 6005N 04920W 0248 F370 M43 356/36 6059N 04000W 0320 5959N 03001W KT N13013 DDL UAK 220248 L92A,
2022-10-22T02:49:21Z,2022-10-22T02:48:00Z,,,,,,,BAW20R,54.3,-37.7333,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-60,278,129,,AIREP,ARP BAW20R 5418N 03744W 0248 F390 M60 278/129 5500N 03000W 0316 5400N 02000W KT GXLEK DDL XXH 220248 J28A,
2022-10-22T02:50:53Z,2022-10-22T02:48:00Z,,,,,,,RCH831,54.2167,-38.45,31000,,,,,,,,,,,,,,,,,,,,,,,,,,,-41,264,86,,AIREP,ARP RCH831 5413N 03827W 0248 F310 M41 264/86 5500N 03000W 0322 5600N 02000W KT 77178A DDL XXN 220249 F43A,
2022-10-22T02:50:53Z,2022-10-22T02:48:00Z,,,,,,,VIR46K,53.8833,-31.5833,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-62,323,83,,AIREP,ARP VIR46K 5353N 03135W 0248 F390 M62 323/83 5359N 03000W 0255 5259N 02000W KT GVGEM DDL XXH 220249 J84A,
2022-10-22T02:50:53Z,2022-10-22T02:48:00Z,,,,,,,BCS301,53.8667,-31.7333,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-59,319,87,,AIREP,ARP BCS301 5352N 03144W 0248 F380 M59 319/87 5359N 03000W 0256 5259N 02000W KT DALMD DDL XXF 220249 J87A,
2022-10-22T02:49:42Z,2022-10-22T02:48:00Z,,,,,,,QTR8158,52.85,-32.1333,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,326,92,,AIREP,ARP QTR8158 5251N 03208W 0248 F350 M50 326/92 5259N 03000W 0257 5159N 02000W KT A7BFO QXT AOE 220248 F80A,
2022-10-22T02:50:53Z,2022-10-22T02:48:00Z,,,,,,,DAL86,52.55,-35.5667,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-56,296,114,,AIREP,ARP DAL86 5233N 03534W 0248 F370 M56 296/114 5300N 03000W 0311 5200N 02000W KT N858NW DDL IG1 220249 J21A,
2022-10-22T02:49:42Z,2022-10-22T02:48:00Z,,,,,,,AUA94,52.4167,-23.2,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-52,1,57,,AIREP,ARP AUA94 5225N 02312W 0248 F370 M52 001/57 5200N 02000W 0303 LIMRI KT OELAE DDL XXN 220248 F63A,
2022-10-22T02:49:24Z,2022-10-22T02:48:00Z,,,,,,,DAL140,52.0833,-39.2333,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-53,281,97,,AIREP,ARP DAL140 5205N 03914W 0248 F360 M53 281/97 5258N 03000W 0327 5158N 02000W KT N1602 QXT IGW 220248 F16A,
2022-10-22T02:50:29Z,2022-10-22T02:48:00Z,,,,,,,DAL230,51.8833,-28.4667,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-56,340,87,,AIREP,ARP DAL230 5153N02828W 0248 F370 5059N02000W 0328 5059N01500W MS56 340/87 KT N186DN QXT IGW 220248 F72A ,
2022-10-22T02:50:25Z,2022-10-22T02:48:00Z,,,,,,,DAL262,51.65,-25.7667,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-56,356,81,,AIREP,ARP DAL262 5139N02546W 0248 F390 5058N02000W 0315 5058N01500W MS56 356/81 KT N818NW DDL IG1 220248 J78A ,
2022-10-22T02:49:24Z,2022-10-22T02:48:00Z,,,,,,,DAL98,51.4833,-36.0333,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,300,98,,AIREP,ARP DAL98 5129N 03602W 0248 F360 M54 300/98 5159N 03000W 0314 5059N 02000W KT N419DX DDL IG1 220248 J68A,
2022-10-22T02:49:24Z,2022-10-22T02:48:00Z,,,,,,,UAL19,50.4333,-36.5667,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-52,304,100,,AIREP,ARP UAL19 5026N 03634W 0248 F360 M52 304/100 5059N 03000W 0316 4959N 02000W KT N783UA DDL XXN 220248 F74A,
2022-10-22T02:50:53Z,2022-10-22T02:48:00Z,,,,,,,AFR153,50.0,-55.4833,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-56,238,108,,AIREP,ARP AFR153 5000N 05529W 0248 F390 M56 238/108 5030N 05000W 0310 5330N 04000W KT FHTYE QXS YQX 220249 J44A,
2022-10-22T02:49:42Z,2022-10-22T02:48:00Z,,,,,,,DAL106,49.45,-48.6833,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-52,254,119,,AIREP,ARP DAL106 4927N 04841W 0248 F360 M52 254/119 5159N 04000W 0327 5259N 03000W KT N860NW DDL YYT 220248 J39A,
2022-10-22T02:50:53Z,2022-10-22T02:48:00Z,,,,,,,UAL989,49.0333,-17.9,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,105,32,,AIREP,ARP UAL989 4902N 01754W 0248 F350 M54 105/32 BEDRA 0303 NASBA KT N2352U DDL XXF 220249 F01A,
2022-10-22T02:49:42Z,2022-10-22T02:48:00Z,,,,,,,BAW63H,48.4167,-45.7833,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-58,274,104,,AIREP,ARP BAW63H 4825N 04547W 0248 F390 M58 274/104 5000N 04000W 0314 5100N 03000W KT GVIIP DDL XXH 220248 F61A,
2022-10-22T02:50:53Z,2022-10-22T02:48:00Z,,,,,,,UAL23,47.3667,-48.9833,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-53,262,96,,AIREP,ARP UAL23 4722N 04859W 0248 F370 M53 262/96 5000N 04000W 0332 5100N 03000W KT N69063 DDL YYT 220248 F93A,
2022-10-22T02:50:53Z,2022-10-22T02:48:00Z,,,,,,,THY38G,47.0,-8.3167,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-59,356,54,,AIREP,ARP THY38G 4700N 00819W 0248 F360 M59 356/54 SEPAL 0251 4701N 01500W KT TCLLI QXS BES 220248 L09A,
2022-10-22T02:49:24Z,2022-10-22T02:48:00Z,,,,,,,DAL108,46.7333,-36.6333,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,316,76,,AIREP,ARP DAL108 4644N 03638W 0248 F350 M49 316/76 4558N 03001W 0320 4358N 02001W KT N828MH QXT AOE 220248 F41A,
2022-10-22T02:50:40Z,2022-10-22T02:48:00Z,,,,,,,SEY261,3.8,61.4833,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-47,98,32,,AIREP,SEY261 0348N06129E 0248 F360 MS47 098/32KT,
2022-10-22T02:48:23Z,2022-10-22T02:47:00Z,,,,,,,PIA798,60.4667,-56.8667,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,-46,269,56,,AIREP,ARP PIA798 6028N 05652W 0247 F330 M46 269/56 6300N 05000W 0315 6600N 04000W KT APBGY QXT AOE 220247 F23A,
2022-10-22T02:49:42Z,2022-10-22T02:47:00Z,,,,,,,UAL956,59.5667,-24.6167,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-56,34,56,,AIREP,ARP UAL956 5934N 02437W 0247 F350 M56 034/56 5900N 02000W 0306 AGORI KT N677UA DDL KEF 220247 F15A,
2022-10-22T02:49:21Z,2022-10-22T02:47:00Z,,,,,,,AAL86,59.0167,-30.5667,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-62,261,21,,AIREP,ARP AAL86 5901N 03034W 0247 F380 M62 261/21 5900N 03000W 0249 5700N 02000W KT N828AA DDL KEF 220247 L61A,
2022-10-22T02:49:24Z,2022-10-22T02:47:00Z,,,,,,,AFR379,57.0833,-34.7333,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-53,283,58,,AIREP,ARP AFR379 5705N 03444W 0247 F350 M53 283/58 5659N 03000W 0305 5559N 02000W KT FGSPF QXT AME 220247 F51A,
2022-10-22T02:49:42Z,2022-10-22T02:47:00Z,,,,,,,DAL160,57.0667,-31.7833,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-62,301,43,,AIREP,ARP DAL160 5704N 03147W 0247 F390 M62 301/43 5700N 03000W 0254 5600N 02000W KT N403DX DDL IG1 220247 J23A,
2022-10-22T02:49:42Z,2022-10-22T02:47:00Z,,,,,,,SIA7957,55.4667,-36.3,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-55,273,86,,AIREP,ARP SIA7957 5528N 03618W 0247 F360 M55 273/86 5600N 03000W 0310 5500N 02000W KT 9VSFP QXT AME 220247 F61A,
2022-10-22T02:49:42Z,2022-10-22T02:47:00Z,,,,,,,KLM194,54.9833,-19.1167,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-53,8,28,,AIREP,ARP KLM194 5459N 01907W 0247 F390 M53 008/28 RESNO 0305 NETKI KT PHBKC QXT EUA 220247 L25A,
2022-10-22T02:49:24Z,2022-10-22T02:47:00Z,,,,,,,AFR351,54.7,-33.9,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-60,302,99,,AIREP,ARP AFR351 5442N 03354W 0247 F390 M60 302/99 5459N 03000W 0302 5359N 02000W KT FHTYP QXT EUA 220247 J92A,
2022-10-22T02:49:24Z,2022-10-22T02:47:00Z,,,,,,,VIR4C,53.6667,-25.8667,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,-57,341,73,,AIREP,ARP VIR4C 5340N 02552W 0247 F400 M57 341/73 5258N 02000W 0312 5258N 01500W KT GVDOT DDL XXF 220247 J44A,
2022-10-22T02:50:29Z,2022-10-22T02:47:00Z,,,,,,,AAL106,52.5167,-41.95,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-55,269,126,,AIREP,ARP AAL106 5231N04157W 0247 F370 5300N04000W 0255 5400N03000W MS55 269/126 KT N721AN DDL XXN 220250 F81A ,
2022-10-22T02:49:21Z,2022-10-22T02:47:00Z,,,,,,,AFR007,52.1833,-38.7167,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-56,281,108,,AIREP,ARP AFR007 5211N 03843W 0247 F370 M56 281/108 5300N 03000W 0322 5200N 02000W KT FGSQM QXT AME 220247 F26A,
2022-10-22T02:49:42Z,2022-10-22T02:47:00Z,,,,,,,AFR943,51.8333,-32.25,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-57,323,111,,AIREP,ARP AFR943 5150N 03215W 0247 F380 M57 323/111 5159N 03000W 0257 5059N 02000W KT FGSPD QXT AOE 220247 F55A,
2022-10-22T02:50:53Z,2022-10-22T02:47:00Z,,,,,,,DAL224,51.6667,-25.7667,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-52,350,100,,AIREP,ARP DAL224 5140N 02546W 0247 F360 M52 350/100 5059N 02000W 0315 5059N 01500W KT N820NW DDL IG1 220248 J68A,
2022-10-22T02:49:42Z,2022-10-22T02:47:00Z,,,,,,,EUK94R,50.8667,-31.9667,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,-47,333,88,,AIREP,ARP EUK94R 5052N 03158W 0247 F330 M47 333/88 5100N 03000W 0256 5000N 02000W KT GEIRH DDL IG1 220247 J57A,
