No errors
No warnings
312 ms
data source=metars
4685 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KBCT 220253Z 35007KT 10SM VCTS BKN050 22/17 A3001 RMK LTG DSNT N AND NE.,KBCT,2022-10-22T02:53:00Z,26.38,-80.1,22.0,17.0,350,7,,10.0,30.008858,,,,,,,,,,VCTS,BKN,5000,,,,,,,VFR,,,,,,,,,,,,METAR,3.0
YSNF 220252Z AUTO 09007KT 9999 -SHRA SCT020 SCT029 BKN035 18/16 Q1021,YSNF,2022-10-22T02:52:00Z,-29.03,167.93,18.0,16.0,90,7,,6.21,30.147638,,,TRUE,,,,,,,-SHRA,SCT,2000,SCT,2900,BKN,3500,,,VFR,,,,,,,,,,,,SPECI,113.0
YCOM 220252Z AUTO 01013KT 5000 // SCT013 SCT022 BKN035 ///// Q1010,YCOM,2022-10-22T02:52:00Z,-36.3,148.97,,,10,13,,3.11,29.822834,,,TRUE,,,,,,,,SCT,1300,SCT,2200,BKN,3500,,,MVFR,,,,,,,,,,,,SPECI,930.0
PAFM 220252Z AUTO 12003KT 10SM FEW004 SCT015 OVC050 01/00 A2982 RMK AO2 RAE03UPB03E05 P0000 FZRANO,PAFM,2022-10-22T02:52:00Z,67.1,-157.85,1.0,0.0,120,3,,10.0,29.819881,,,TRUE,TRUE,,,,TRUE,,,FEW,400,SCT,1500,OVC,5000,,,VFR,,,,,,0.005,,,,,,SPECI,79.0
PABV 220252Z AUTO 05003KT 10SM BKN004 02/02 A2990 RMK AO2 FZRANO,PABV,2022-10-22T02:52:00Z,61.42,-149.52,2.0,2.0,50,3,,10.0,29.899607,,,TRUE,TRUE,,,,TRUE,,,BKN,400,,,,,,,LIFR,,,,,,,,,,,,SPECI,21.0
PABA 220252Z AUTO 10019KT 10SM OVC016 M04/M06 A2995 RMK AO2 SLP149 6//// T10391061 51015 FZRANO PNO $,PABA,2022-10-22T02:52:00Z,70.13,-143.58,-3.9,-6.1,100,19,,10.0,29.949802,1014.9,,TRUE,TRUE,TRUE,,,TRUE,,,OVC,1600,,,,,,,MVFR,1.5,,,,,,,,,,,METAR,1.0
KREO 220252Z AUTO 23010G20KT 19/02 A2962 RMK AO1 SLP014 T01940017 58024 ,KREO,2022-10-22T02:52:00Z,42.58,-117.87,19.4,1.7,230,10,20,,29.619095,1001.4,,TRUE,TRUE,,,,,,,,,,,,,,,,-2.4,,,,,,,,,,,METAR,1237.0
KNRB 220252Z AUTO 02010KT 10SM CLR A3012 RMK AO2 SLP200 51014 $ ,KNRB,2022-10-22T02:52:00Z,30.38,-81.42,,,20,10,,10.0,30.121063,1020.0,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,1.4,,,,,,,,,,,METAR,4.0
KNFW 220252Z 17019G28KT 10SM CLR 26/10 A2982 RMK AO2 PK WND 19028/0240 SLP083 T02610100 51013 $ ,KNFW,2022-10-22T02:52:00Z,32.78,-97.43,26.1,10.0,170,19,28,10.0,29.819881,1008.3,,,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,1.3,,,,,,,,,,,METAR,188.0
KBLH 220252Z AUTO 22006KT 10SM CLR 28/10 A2975 RMK AO2 SLP070 T02830100 53001 TSNO ,KBLH,2022-10-22T02:52:00Z,33.62,-114.72,28.3,10.0,220,6,,10.0,29.749016,1007.0,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,0.1,,,,,,,,,,,METAR,119.0
