raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
CYMM 231118Z AUTO 10006KT 9SM BKN039 OVC060 00/M01 A3000 RMK SLP183,CYMM,2022-10-23T11:18:00Z,56.65,-111.22,0.0,-1.0,100,6,,9.0,30.0,1018.3,,TRUE,,,,,,,,BKN,3900,OVC,6000,,,,,VFR,,,,,,,,,,,,SPECI,371.0
CYET 231118Z AUTO 28002KT 6SM BR BKN004 OVC011 M01/ A2994 RMK DP MISG SLP181,CYET,2022-10-23T11:18:00Z,53.57,-116.47,-1.0,,280,2,,6.0,29.940945,1018.1,,TRUE,,,,,,,BR,BKN,400,OVC,1100,,,,,LIFR,,,,,,,,,,,,SPECI,925.0
PADK 231117Z AUTO 23030G39KT OVC014 10/08 A3017 RMK AO2 PK WND 24046/1058 P0001 PWINO $,PADK,2022-10-23T11:17:00Z,51.88,-176.65,10.0,8.0,230,30,39,,30.171259,,,TRUE,TRUE,TRUE,,,,TRUE,,OVC,1400,,,,,,,,,,,,,0.01,,,,,,SPECI,3.0
KHYI 231117Z AUTO 19003KT 10SM SCT019 RMK AO2 FZRANO $,KHYI,2022-10-23T11:17:00Z,29.88,-97.87,,,190,3,,10.0,,,,TRUE,TRUE,TRUE,,,TRUE,,,SCT,1900,,,,,,,VFR,,,,,,,,,,,,SPECI,180.0
KCKC 231117Z AUTO 08005KT 10SM CLR 09/07 A2976 RMK AO2,KCKC,2022-10-23T11:17:00Z,47.83,-90.38,9.0,7.0,80,5,,10.0,29.760826,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,544.0
CYVL 231117Z AUTO 11005KT 080V150 5SM -SN FEW028 OVC041 M09/M10 A3003 RMK SLP200,CYVL,2022-10-23T11:17:00Z,67.02,-126.13,-9.0,-10.0,110,5,,5.0,30.029528,1020.0,,TRUE,,,,,,,-SN,FEW,2800,OVC,4100,,,,,MVFR,,,,,,,,,,,,SPECI,261.0
CYPX 231117Z AUTO 28025KT 6SM -RA BR FEW014 BKN023 BKN030 OVC036 01/M01 A2985 RMK SLP112,CYPX,2022-10-23T11:17:00Z,60.03,-77.27,1.0,-1.0,280,25,,6.0,29.84941,1011.2,,TRUE,,,,,,,-RA BR,FEW,1400,BKN,2300,BKN,3000,OVC,3600,MVFR,,,,,,,,,,,,SPECI,10.0
PAKK 231116Z AUTO 18008KT 1/2SM SN FG OVC003 00/00 A2987 RMK AO2 P0000 FZRANO,PAKK,2022-10-23T11:16:00Z,64.93,-161.15,0.0,0.0,180,8,,0.5,29.870079,,,TRUE,TRUE,,,,TRUE,,SN FG,OVC,300,,,,,,,LIFR,,,,,,0.005,,,,,,SPECI,56.0
PADM 231116Z AUTO 36004KT 10SM FEW009 M06/M07 A3007 RMK AO2 FZRANO,PADM,2022-10-23T11:16:00Z,61.87,-162.03,-6.0,-7.0,360,4,,10.0,30.070866,,,TRUE,TRUE,,,,TRUE,,,FEW,900,,,,,,,VFR,,,,,,,,,,,,SPECI,17.0
KPVU 231116Z AUTO 14007KT 10SM BKN013 BKN035 OVC055 02/01 A2960 RMK AO2 RAE01 P0001 FZRANO,KPVU,2022-10-23T11:16:00Z,40.22,-111.72,2.0,1.0,140,7,,10.0,29.601377,,,TRUE,TRUE,,,,TRUE,,,BKN,1300,BKN,3500,OVC,5500,,,MVFR,,,,,,0.01,,,,,,SPECI,1370.0
